epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,817.662,0.53483,0.94748,0.8949,0.65635,0.66667,0.651,0.51325,0.80454,2.26011,1.05652,0.000317,0.000317,0.000317
70,830.276,0.41004,0.82859,0.86354,0.70188,0.7899,0.70129,0.5805,0.75847,2.27012,1.05368,0.00029225,0.00029225,0.00029225
71,856.34,0.38579,1.10031,0.80703,0.70188,0.7899,0.70129,0.5805,0.75847,2.27012,1.05368,0.0002675,0.0002675,0.0002675
72,871.44,0.34952,0.98774,0.85985,0.69938,0.83333,0.69915,0.5617,0.74034,2.30626,1.03462,0.00024275,0.00024275,0.00024275
73,884.547,0.33684,1.06443,0.82422,0.69938,0.83333,0.69915,0.5617,0.74034,2.30626,1.03462,0.000218,0.000218,0.000218
74,897.403,0.39309,1.05626,0.84302,0.67621,0.83333,0.72562,0.59381,0.74331,2.3426,1.04049,0.00019325,0.00019325,0.00019325
75,910.165,0.47186,1.10652,0.82902,0.67621,0.83333,0.72562,0.59381,0.74331,2.3426,1.04049,0.0001685,0.0001685,0.0001685
76,922.169,0.39239,0.98079,0.8661,0.67045,0.83333,0.76186,0.58318,0.72942,2.38804,1.04786,0.00014375,0.00014375,0.00014375
77,934.046,0.37591,1.00056,0.82481,0.67045,0.83333,0.76186,0.58318,0.72942,2.38804,1.04786,0.000119,0.000119,0.000119
78,945.564,0.44656,1.11364,0.91115,0.66261,0.83333,0.7717,0.60488,0.72141,2.3846,1.04601,9.425e-05,9.425e-05,9.425e-05
79,957.226,0.34268,0.99155,0.82841,0.66261,0.83333,0.7717,0.60488,0.72141,2.3846,1.04601,6.95e-05,6.95e-05,6.95e-05
80,968.81,0.31696,1.01105,0.80729,0.66004,0.83333,0.77786,0.6141,0.72873,2.32173,1.04154,4.475e-05,4.475e-05,4.475e-05
